Target gene,Representative transcript,Gene name,3P-seq tags + 5,Conserved sites total,Conserved 8mer sites,Conserved 7mer-m8 sites,Conserved 7mer-A1 sites,Poorly conserved sites total,Poorly conserved 8mer sites,Poorly conserved 7mer-m8 sites,Poorly conserved 7mer-A1 sites,6mer sites,Representative miRNA,Cumulative weighted context++ score,Total context++ score,Aggregate PCT,"Previous TargetScan publication(s)
"
Slc30a7,ENSMUST00000067485.3,"solute carrier family 30 (zinc transporter), member 7 ",257,1,0,1,0,2,0,2,0,1,mmu-miR-141-3p,-0.2,-0.31,0.37,"2005, 2007, 2009, 2011
"
Reck,ENSMUST00000030198.6,reversion-inducing-cysteine-rich protein with kazal motifs ,575,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.2,-0.2,< 0.1,"2005, 2007, 2009, 2011
"
Gnaq,ENSMUST00000025541.5,"guanine nucleotide binding protein, alpha q polypeptide ",857,1,0,1,0,1,0,0,1,1,mmu-miR-141-3p,-0.2,-0.22,0.37,"2009, 2011
"
Bcap29,ENSMUST00000177962.2,B cell receptor associated protein 29 ,144,1,0,1,0,1,1,0,0,2,mmu-miR-200a-3p,-0.2,-0.32,0.37,"2005, 2007, 2009, 2011
"
Klhdc10,ENSMUST00000068259.6,kelch domain containing 10 ,2497,1,0,1,0,1,0,1,0,2,mmu-miR-141-3p,-0.2,-0.27,0.6,"2009, 2011
"
Slc23a2,ENSMUST00000028815.9,"solute carrier family 23 (nucleobase transporters), member 2 ",47,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.2,-0.21,0.37,"2005, 2007, 2009, 2011
"
Dcun1d3,ENSMUST00000059851.7,"DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae) ",469,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.2,-0.24,0.8,"2007, 2009, 2011
"
Supt6,ENSMUST00000002121.4,suppressor of Ty 6 ,891,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.2,-0.22,0.37,"2009, 2011
"
Myrip,ENSMUST00000048121.7,myosin VIIA and Rab interacting protein ,95,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.2,-0.21,0.69,"2005, 2007, 2009, 2011
"
Nab1,ENSMUST00000186764.1,Ngfi-A binding protein 1 ,4719,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.2,-0.2,0.37,"2007, 2009, 2011
"
Spry4,ENSMUST00000025295.6,sprouty homolog 4 (Drosophila) ,199,1,0,0,1,2,1,1,0,0,mmu-miR-141-3p,-0.2,-0.28,0.34,"2005, 2007, 2009, 2011
"
Erc2,ENSMUST00000090302.5,ELKS/RAB6-interacting/CAST family member 2 ,106,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.2,-0.2,0.37,"2007, 2009, 2011
"
Slc35d1,ENSMUST00000150285.2,"solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1 ",1103,1,0,1,0,1,0,0,1,2,mmu-miR-200a-3p,-0.2,-0.21,0.37,"2009, 2011
"
Trim23,ENSMUST00000069187.6,tripartite motif-containing 23 ,992,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.2,-0.32,0.37,2005
Akap2,ENSMUST00000102903.2,A kinase (PRKA) anchor protein 2 ,3643,2,0,2,0,2,1,1,0,2,mmu-miR-141-3p,-0.2,-0.23,0.75,"2007, 2009, 2011
"
Msantd2,ENSMUST00000048604.6,Myb/SANT-like DNA-binding domain containing 2 ,99,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.2,-0.27,0.37,"2007, 2009, 2011
"
Bahd1,ENSMUST00000036578.6,bromo adjacent homology domain containing 1 ,147,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.2,-0.2,0.37,"2005, 2007, 2009, 2011
"
Foxa1,ENSMUST00000044380.6,forkhead box A1 ,116,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.2,-0.2,0.78,"2005, 2007, 2009, 2011
"
Clasp2,ENSMUST00000166734.3,CLIP associating protein 2 ,1362,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.2,-0.22,0.74,"2005, 2007, 2009, 2011
"
Hoxa11,ENSMUST00000048026.9,homeobox A11 ,7,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.2,-0.2,0.37,"2005, 2007, 2009, 2011
"
Dync1li2,ENSMUST00000041769.6,"dynein, cytoplasmic 1 light intermediate chain 2 ",2440,1,1,0,0,1,0,1,0,2,mmu-miR-141-3p,-0.19,-0.22,0.78,"2007, 2009, 2011
"
Foxn3,ENSMUST00000046859.5,forkhead box N3 ,698,2,0,2,0,2,0,1,1,1,mmu-miR-141-3p,-0.19,-0.24,0.75,2007
Ppp4r2,ENSMUST00000063854.4,"protein phosphatase 4, regulatory subunit 2 ",1441,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.19,-0.2,0.66,"2009, 2011
"
Spryd3,ENSMUST00000154032.1,SPRY domain containing 3 ,255,1,0,1,0,0,0,0,0,0,mmu-miR-200a-3p,-0.19,-0.2,0.37,"2007, 2009, 2011
"
Ptprz1,ENSMUST00000090568.3,"protein tyrosine phosphatase, receptor type Z, polypeptide 1 ",33,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.19,-0.19,0.37,"2005, 2007, 2009, 2011
"
Hook1,ENSMUST00000030306.8,hook homolog 1 (Drosophila) ,5138,1,1,0,0,1,0,0,1,2,mmu-miR-141-3p,-0.19,-0.19,< 0.1,"2007, 2009, 2011
"
Tnrc6b,ENSMUST00000067689.7,trinucleotide repeat containing 6b ,464,3,1,2,0,1,0,1,0,6,mmu-miR-141-3p,-0.19,-0.21,0.85,"2007, 2009, 2011
"
Kpna4,ENSMUST00000029353.3,karyopherin (importin) alpha 4 ,1495,1,0,0,1,1,0,1,0,3,mmu-miR-200a-3p,-0.19,-0.2,0.58,"2005, 2007, 2009, 2011
"
Ranbp9,ENSMUST00000144326.2,RAN binding protein 9 ,1163,1,0,0,1,0,0,0,0,1,mmu-miR-141-3p,-0.19,-0.19,0.34,"2007, 2009, 2011
"
Atad2b,ENSMUST00000045664.5,"ATPase family, AAA domain containing 2B ",253,1,0,1,0,1,1,0,0,0,mmu-miR-200a-3p,-0.19,-0.2,0.37,"2009, 2011
"
Zcchc3,ENSMUST00000099207.4,"zinc finger, CCHC domain containing 3 ",6,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.19,-0.19,0.37,"2005, 2007, 2009, 2011
"
Krt222,ENSMUST00000103132.4,keratin 222 ,36,1,0,1,0,1,0,0,1,1,mmu-miR-141-3p,-0.19,-0.24,0.37,"2007, 2009, 2011
"
Dek,ENSMUST00000021807.7,DEK oncogene (DNA binding) ,246,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.19,-0.2,0.37,"2005, 2007, 2009, 2011
"
Camsap2,ENSMUST00000048309.6,"calmodulin regulated spectrin-associated protein family, member 2 ",676,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.19,-0.19,0.6,"2007, 2009, 2011
"
Kdm2b,ENSMUST00000031435.8,lysine (K)-specific demethylase 2B ,12,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.18,-0.18,0.37,"2007, 2009, 2011
"
Lrrtm2,ENSMUST00000091636.3,leucine rich repeat transmembrane neuronal 2 ,5,1,0,0,1,1,0,0,1,1,mmu-miR-200a-3p,-0.18,-0.18,0.34,"2005, 2007, 2009, 2011
"
Proser2,ENSMUST00000054254.6,proline and serine rich 2 ,147,1,0,1,0,1,1,0,0,0,mmu-miR-200a-3p,-0.18,-0.32,0.37,"2007, 2009, 2011
"
Srm,ENSMUST00000006611.8,spermidine synthase ,314,1,0,0,1,0,0,0,0,1,mmu-miR-141-3p,-0.18,-0.21,0.34,"2007, 2009, 2011
"
Son,ENSMUST00000122302.2,Son DNA binding protein ,5492,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.18,-0.18,0.24,"2005, 2007, 2009, 2011
"
Arhgef18,ENSMUST00000004684.7,rho/rac guanine nucleotide exchange factor (GEF) 18 ,1297,1,0,1,0,1,0,1,0,0,mmu-miR-200a-3p,-0.18,-0.18,0.37,"2005, 2007, 2009, 2011
"
Crebrf,ENSMUST00000062519.8,CREB3 regulatory factor ,256,2,1,1,0,1,0,0,1,2,mmu-miR-200a-3p,-0.18,-0.3,0.66,"2007, 2009, 2011
"
Kcnj2,ENSMUST00000042970.2,"potassium inwardly-rectifying channel, subfamily J, member 2 ",89,1,0,1,0,0,0,0,0,1,mmu-miR-200a-3p,-0.18,-0.18,0.37,"2005, 2007, 2009, 2011
"
Ldlrad4,ENSMUST00000063775.3,low density lipoprotein receptor class A domain containing 4 ,132,2,0,2,0,1,0,1,0,0,mmu-miR-141-3p,-0.18,-0.33,0.6,"2007, 2009, 2011
"
Six1,ENSMUST00000050029.7,sine oculis-related homeobox 1 ,709,1,0,0,1,0,0,0,0,1,mmu-miR-141-3p,-0.18,-0.19,0.34,"2009, 2011
"
Leng8,ENSMUST00000037472.7,leukocyte receptor cluster (LRC) member 8 ,1360,1,0,1,0,2,0,2,0,0,mmu-miR-200a-3p,-0.18,-0.18,0.6,"2005, 2007, 2009, 2011
"
Itga6,ENSMUST00000028522.4,integrin alpha 6 ,3454,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.18,-0.19,0.37,2007
Ttpal,ENSMUST00000171696.2,tocopherol (alpha) transfer protein-like ,220,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.18,-0.21,0.37,"2007, 2009, 2011
"
Foxp1,ENSMUST00000113326.3,forkhead box P1 ,1050,1,0,1,0,1,0,1,0,2,mmu-miR-141-3p,-0.18,-0.2,0.37,"2005, 2007, 2011
"
Sept8,ENSMUST00000117061.2,septin 8 ,1534,1,0,1,0,2,0,1,1,1,mmu-miR-200a-3p,-0.18,-0.19,0.37,"2009, 2011
"
Slc14a1,ENSMUST00000091813.6,"solute carrier family 14 (urea transporter), member 1 ",19,1,0,1,0,1,1,0,0,0,mmu-miR-141-3p,-0.18,-0.19,0.37,"2009, 2011
"
Dock4,ENSMUST00000037488.6,dedicator of cytokinesis 4 ,596,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.18,-0.19,0.64,2007
Ppp3r1,ENSMUST00000102880.4,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I) ",3269,1,0,0,1,0,0,0,0,0,mmu-miR-141-3p,-0.18,-0.18,0.34,"2005, 2007, 2009, 2011
"
Svil,ENSMUST00000143254.2,supervillin ,1016,1,0,0,1,0,0,0,0,0,mmu-miR-141-3p,-0.18,-0.18,0.34,"2005, 2007, 2009, 2011
"
Paqr9,ENSMUST00000079597.6,progestin and adipoQ receptor family member IX ,1329,1,0,1,0,3,1,2,0,3,mmu-miR-141-3p,-0.18,-0.36,0.75,"2007, 2009, 2011
"
Ppp2r2a,ENSMUST00000089230.5,"protein phosphatase 2, regulatory subunit B, alpha ",657,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.17,-0.18,0.37,"2005, 2007, 2009, 2011
"
Fat3,ENSMUST00000082170.5,FAT tumor suppressor homolog 3 (Drosophila) ,18,2,0,2,0,3,1,1,1,2,mmu-miR-141-3p,-0.17,-0.18,0.74,"2009, 2011
"
Rarb,ENSMUST00000063750.6,"retinoic acid receptor, beta ",34,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.17,-0.24,0.72,"2005, 2007, 2009, 2011
"
Rnf44,ENSMUST00000177950.2,ring finger protein 44 ,2723,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007, 2009, 2011
"
Khdrbs1,ENSMUST00000066257.5,"KH domain containing, RNA binding, signal transduction associated 1 ",260,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007, 2009, 2011
"
Fam84b,ENSMUST00000100635.4,"family with sequence similarity 84, member B ",1636,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007, 2011
"
Grin3a,ENSMUST00000093859.5,"glutamate receptor ionotropic, NMDA3A ",10,1,0,1,0,3,0,3,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007
"
Peli1,ENSMUST00000093290.6,pellino 1 ,1135,1,0,1,0,0,0,0,0,2,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007, 2009, 2011
"
Celf1,ENSMUST00000068726.7,"CUGBP, Elav-like family member 1 ",4386,1,0,1,0,1,0,1,0,2,mmu-miR-141-3p,-0.17,-0.17,0.37,"
"
Pcgf3,ENSMUST00000046975.6,polycomb group ring finger 3 ,636,1,0,1,0,1,0,1,0,3,mmu-miR-141-3p,-0.17,-0.29,0.37,"2005, 2007
"
Csf3,ENSMUST00000038886.2,colony stimulating factor 3 (granulocyte) ,5,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007, 2009, 2011
"
Mpped2,ENSMUST00000111063.2,metallophosphoesterase domain containing 2 ,91,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2007, 2011
"
Csnk1a1,ENSMUST00000165123.2,"casein kinase 1, alpha 1 ",13682,1,0,1,0,3,0,2,1,1,mmu-miR-141-3p,-0.17,-0.36,0.37,"2005, 2007, 2009, 2011
"
Nxph1,ENSMUST00000160300.1,neurexophilin 1 ,16,1,0,0,1,8,0,4,4,3,mmu-miR-141-3p,-0.17,-0.51,0.34,"2005, 2007
"
Mttp,ENSMUST00000098580.3,microsomal triglyceride transfer protein ,2125,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2007, 2009, 2011
"
Rapgef5,ENSMUST00000109691.2,Rap guanine nucleotide exchange factor (GEF) 5 ,1442,1,0,1,0,1,1,0,0,1,mmu-miR-200a-3p,-0.17,-0.2,0.37,"2007, 2011
"
Mbtd1,ENSMUST00000063718.5,mbt domain containing 1 ,347,1,0,1,0,1,0,0,1,2,mmu-miR-141-3p,-0.17,-0.19,0.37,"2009, 2011
"
Arntl,ENSMUST00000047321.7,aryl hydrocarbon receptor nuclear translocator-like ,78,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007, 2009, 2011
"
Mbtps2,ENSMUST00000058098.9,"membrane-bound transcription factor peptidase, site 2 ",1034,1,0,1,0,1,0,0,1,2,mmu-miR-141-3p,-0.17,-0.17,0.37,"2009, 2011
"
Gabarapl2,ENSMUST00000034428.7,gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2 ,182,1,0,0,1,1,0,1,0,1,mmu-miR-141-3p,-0.17,-0.25,0.34,"2005, 2007
"
D230025D16Rik,ENSMUST00000034361.4,RIKEN cDNA D230025D16 gene ,1624,1,0,1,0,1,0,0,1,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2009, 2011
"
Kat6b,ENSMUST00000069648.8,K(lysine) acetyltransferase 6B ,394,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.17,-0.17,0.37,"2007, 2009, 2011
"
Phlpp1,ENSMUST00000061047.6,PH domain and leucine rich repeat protein phosphatase 1 ,554,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.17,-0.17,< 0.1,"2007, 2011
"
Chst4,ENSMUST00000109222.2,carbohydrate (chondroitin 6/keratan) sulfotransferase 4 ,45,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.17,-0.17,0.37,"2005, 2007, 2009, 2011
"
Dcx,ENSMUST00000033642.4,doublecortin ,5,1,0,0,1,2,0,2,0,1,mmu-miR-141-3p,-0.17,-0.17,0.73,"2005, 2007, 2009, 2011
"
Nrxn1,ENSMUST00000160844.4,neurexin I ,37,1,0,1,0,1,0,1,0,2,mmu-miR-141-3p,-0.17,-0.17,0.54,"2005, 2007, 2009, 2011
"
Epn2,ENSMUST00000108711.2,epsin 2 ,323,1,0,1,0,0,0,0,0,0,mmu-miR-200a-3p,-0.17,-0.17,0.37,"2007, 2009, 2011
"
Pcdh9,ENSMUST00000068992.2,protocadherin 9 ,13,1,1,0,0,2,0,0,2,0,mmu-miR-200a-3p,-0.17,-0.17,0.15,"2005, 2007, 2009, 2011
"
Nipal3,ENSMUST00000102549.4,NIPA-like domain containing 3 ,304,2,1,1,0,1,0,1,0,0,mmu-miR-200a-3p,-0.16,-0.27,0.9,"2007, 2009, 2011
"
Rap2c,ENSMUST00000053593.7,"RAP2C, member of RAS oncogene family ",1539,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.16,-0.16,0.37,"2005, 2007, 2009, 2011
"
Ccdc6,ENSMUST00000147545.2,coiled-coil domain containing 6 ,920,1,0,1,0,1,0,0,1,2,mmu-miR-141-3p,-0.16,-0.16,0.37,"2005, 2007, 2009, 2011
"
Rdx,ENSMUST00000163153.2,radixin ,9130,1,0,1,0,0,0,0,0,1,mmu-miR-200a-3p,-0.16,-0.18,0.37,"2005, 2007, 2009, 2011
"
Cds2,ENSMUST00000103181.5,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2 ,2058,1,0,1,0,4,1,3,0,2,mmu-miR-141-3p,-0.16,-0.23,0.74,"2005, 2007, 2009, 2011
"
Cdc14b,ENSMUST00000109770.1,CDC14 cell division cycle 14B ,89,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.16,-0.23,0.58,"2007, 2009, 2011
"
Itsn1,ENSMUST00000056482.8,intersectin 1 (SH3 domain protein 1A) ,999,1,0,1,0,2,0,2,0,0,mmu-miR-200a-3p,-0.16,-0.33,0.59,"2005, 2007, 2009, 2011
"
Klf6,ENSMUST00000000080.6,Kruppel-like factor 6 ,6715,1,1,0,0,1,0,0,1,0,mmu-miR-141-3p,-0.16,-0.16,< 0.1,"2009, 2011
"
Apbb2,ENSMUST00000159786.2,"amyloid beta (A4) precursor protein-binding, family B, member 2 ",670,1,1,0,0,0,0,0,0,1,mmu-miR-141-3p,-0.16,-0.16,0.44,"2005, 2007, 2009, 2011
"
Wapal,ENSMUST00000048263.8,wings apart-like homolog (Drosophila) ,4563,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.16,-0.23,0.37,2007
Dip2b,ENSMUST00000100203.4,DIP2 disco-interacting protein 2 homolog B (Drosophila) ,1957,3,0,3,0,0,0,0,0,1,mmu-miR-141-3p,-0.16,-0.16,0.75,"2007, 2011
"
S100pbp,ENSMUST00000106061.3,S100P binding protein ,727,1,1,0,0,2,0,0,2,2,mmu-miR-200a-3p,-0.16,-0.2,< 0.1,2007
D15Ertd621e,ENSMUST00000037270.3,"DNA segment, Chr 15, ERATO Doi 621, expressed ",2211,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.16,-0.24,0.37,"2009, 2011
"
Irf2bpl,ENSMUST00000038422.6,interferon regulatory factor 2 binding protein-like ,136,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.16,-0.16,0.37,"2007, 2009, 2011
"
Cep170,ENSMUST00000057037.7,centrosomal protein 170 ,1744,1,0,1,0,1,0,0,1,3,mmu-miR-141-3p,-0.16,-0.17,0.37,"2007, 2009, 2011
"
Slc5a3,ENSMUST00000113975.2,"solute carrier family 5 (inositol transporters), member 3 ",2953,1,0,0,1,2,0,2,0,1,mmu-miR-141-3p,-0.16,-0.16,0.34,"2007, 2009, 2011
"
Osbpl11,ENSMUST00000039733.8,oxysterol binding protein-like 11 ,378,1,0,1,0,2,0,1,1,1,mmu-miR-200a-3p,-0.16,-0.21,0.37,"2005, 2007, 2009, 2011
"
Plekha8,ENSMUST00000119706.2,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8 ",269,1,0,1,0,0,0,0,0,1,mmu-miR-200a-3p,-0.16,-0.16,0.37,2011
Mtf2,ENSMUST00000081567.5,metal response element binding transcription factor 2 ,544,1,1,0,0,3,0,3,0,0,mmu-miR-141-3p,-0.16,-0.55,0.89,"2009, 2011
"
Urgcp,ENSMUST00000093362.6,upregulator of cell proliferation ,505,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.16,-0.16,< 0.1,"2007, 2009, 2011
"
Esrp1,ENSMUST00000108311.3,epithelial splicing regulatory protein 1 ,343,1,0,1,0,1,0,0,1,0,mmu-miR-141-3p,-0.16,-0.18,0.37,"2007, 2009, 2011
"
Akirin1,ENSMUST00000102636.3,akirin 1 ,238,1,0,0,1,0,0,0,0,1,mmu-miR-141-3p,-0.16,-0.16,0.34,"2009, 2011
"
Hoxb5,ENSMUST00000049272.4,homeobox B5 ,268,1,0,1,0,0,0,0,0,0,mmu-miR-200a-3p,-0.16,-0.16,0.37,"2005, 2007, 2009, 2011
"
Gjc1,ENSMUST00000068933.6,"gap junction protein, gamma 1 ",295,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.16,-0.35,0.37,"2007, 2009, 2011
"
Sft2d2,ENSMUST00000043338.4,SFT2 domain containing 2 ,395,1,0,1,0,0,0,0,0,4,mmu-miR-141-3p,-0.16,-0.41,0.37,"2009, 2011
"
Fam126b,ENSMUST00000161600.2,"family with sequence similarity 126, member B ",493,1,0,1,0,1,0,1,0,0,mmu-miR-141-3p,-0.16,-0.19,0.37,"2009, 2011
"
Cers6,ENSMUST00000028426.3,ceramide synthase 6 ,1016,1,1,0,0,3,0,2,1,1,mmu-miR-200a-3p,-0.16,-0.16,0.52,"2007, 2009, 2011
"
Tmem170b,ENSMUST00000129449.1,transmembrane protein 170B ,158,1,1,0,0,0,0,0,0,3,mmu-miR-200a-3p,-0.16,-0.18,0.48,2011
Jam3,ENSMUST00000034472.9,junction adhesion molecule 3 ,110,1,0,1,0,2,1,1,0,1,mmu-miR-141-3p,-0.15,-0.45,0.37,"2005, 2007, 2009, 2011
"
Yy1,ENSMUST00000021692.7,YY1 transcription factor ,3503,1,0,0,1,0,0,0,0,1,mmu-miR-141-3p,-0.15,-0.18,0.34,"2005, 2007, 2009, 2011
"
Sipa1l2,ENSMUST00000108775.1,signal-induced proliferation-associated 1 like 2 ,334,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.15,0.37,"2005, 2007, 2009, 2011
"
Ptp4a1,ENSMUST00000027232.8,protein tyrosine phosphatase 4a1 ,153,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.15,-0.15,0.37,"2005, 2007, 2009, 2011
"
Gab1,ENSMUST00000034150.8,growth factor receptor bound protein 2-associated protein 1 ,699,1,0,1,0,0,0,0,0,1,mmu-miR-200a-3p,-0.15,-0.15,0.37,"2005, 2007, 2009, 2011
"
Fam168a,ENSMUST00000049053.7,"family with sequence similarity 168, member A ",201,1,1,0,0,1,0,1,0,0,mmu-miR-200a-3p,-0.15,-0.23,0.64,"2009, 2011
"
Ogt,ENSMUST00000044475.4,O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase) ,4379,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.17,0.37,"2005, 2007, 2009, 2011
"
Pphln1,ENSMUST00000049122.9,periphilin 1 ,680,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.23,0.74,"2005, 2007, 2009, 2011
"
Arhgap23,ENSMUST00000121799.2,Rho GTPase activating protein 23 ,516,1,0,1,0,0,0,0,0,1,mmu-miR-200a-3p,-0.15,-0.16,0.37,"2009, 2011
"
Palm2Akap2,ENSMUST00000150412.1,Palm2-Akap2 readthrough transcript ,3643,2,0,2,0,2,1,1,0,2,mmu-miR-141-3p,-0.15,-0.18,0.75,"
"
Sp4,ENSMUST00000026367.9,trans-acting transcription factor 4 ,279,1,1,0,0,1,0,0,1,3,mmu-miR-141-3p,-0.15,-0.2,0.81,"2007, 2009, 2011
"
Rnf13,ENSMUST00000041826.9,ring finger protein 13 ,4649,1,0,0,1,1,0,0,1,0,mmu-miR-141-3p,-0.15,-0.25,0.34,"2005, 2007, 2009, 2011
"
Cyp26b1,ENSMUST00000168003.3,"cytochrome P450, family 26, subfamily b, polypeptide 1 ",272,1,1,0,0,1,0,1,0,0,mmu-miR-141-3p,-0.15,-0.15,0.65,"2005, 2007, 2009, 2011
"
Kmt2c,ENSMUST00000045291.8,lysine (K)-specific methyltransferase 2C ,655,1,0,0,1,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.16,0.34,"2007, 2009, 2011
"
Dmxl1,ENSMUST00000041772.5,Dmx-like 1 ,1153,1,0,1,0,1,0,0,1,2,mmu-miR-200a-3p,-0.15,-0.17,0.37,"2005, 2007, 2009, 2011
"
Rtn4rl1,ENSMUST00000102514.3,reticulon 4 receptor-like 1 ,160,1,1,0,0,0,0,0,0,2,mmu-miR-200a-3p,-0.15,-0.16,0.82,"2005, 2007, 2009, 2011
"
Map3k3,ENSMUST00000002044.9,mitogen-activated protein kinase kinase kinase 3 ,437,1,0,0,1,1,0,0,1,0,mmu-miR-200a-3p,-0.15,-0.15,0.52,"2005, 2007, 2009, 2011
"
Zfp608,ENSMUST00000064763.5,zinc finger protein 608 ,87,1,0,0,1,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.15,0.34,"2009, 2011
"
Slc10a7,ENSMUST00000034111.8,"solute carrier family 10 (sodium/bile acid cotransporter family), member 7 ",233,1,0,1,0,0,0,0,0,2,mmu-miR-200a-3p,-0.15,-0.18,0.37,"2009, 2011
"
Anp32e,ENSMUST00000165307.2,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E ",9392,1,1,0,0,0,0,0,0,2,mmu-miR-141-3p,-0.15,-0.27,0.81,"2005, 2007, 2011
"
Mob3b,ENSMUST00000102975.4,MOB kinase activator 3B ,97,1,0,1,0,1,0,0,1,0,mmu-miR-141-3p,-0.15,-0.22,0.37,"2007, 2009, 2011
"
Stau2,ENSMUST00000162751.2,staufen (RNA binding protein) homolog 2 (Drosophila) ,484,1,0,0,1,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.17,0.34,"2009, 2011
"
Arrb1,ENSMUST00000098266.3,"arrestin, beta 1 ",3433,1,1,0,0,2,0,2,0,1,mmu-miR-141-3p,-0.15,-0.15,0.36,"2009, 2011
"
Grin2d,ENSMUST00000002848.7,"glutamate receptor, ionotropic, NMDA2D (epsilon 4) ",33,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.15,0.37,"
"
Lmod3,ENSMUST00000095655.2,leiomodin 3 (fetal) ,641,1,0,0,1,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.15,0.34,"2005, 2007, 2009, 2011
"
Fkbp5,ENSMUST00000079413.4,FK506 binding protein 5 ,117,1,0,1,0,1,0,1,0,1,mmu-miR-141-3p,-0.15,-0.17,0.37,"2005, 2007, 2009, 2011
"
Parm1,ENSMUST00000040576.9,prostate androgen-regulated mucin-like protein 1 ,1145,1,0,1,0,0,0,0,0,1,mmu-miR-141-3p,-0.15,-0.19,0.37,2007
Ptch1,ENSMUST00000021921.5,patched homolog 1 ,4095,1,1,0,0,0,0,0,0,0,mmu-miR-141-3p,-0.15,-0.15,0.8,2007
Tgfbr1,ENSMUST00000007757.9,"transforming growth factor, beta receptor I ",1724,1,0,1,0,1,0,0,1,4,mmu-miR-141-3p,-0.15,-0.15,0.37,"2007, 2009, 2011
"
Lhx6,ENSMUST00000112961.4,LIM homeobox protein 6 ,55,1,0,1,0,0,0,0,0,0,mmu-miR-141-3p,-0.14,-0.14,0.37,"2005, 2007, 2009, 2011
"
